Name,EIN,IRS 501(c) type,City,State,Total revenues
Friends of the Tuolumne,77-0404340,501(c)(3),Stockton,CA,"$2,630,395"
California Farm Water Coalition (CFWC),77-0230053,501(c)(3),Sacramento,CA,"$998,008"
California Land Stewardship Institute (CLSI),76-0772085,501(c)(3),Napa,CA,"$891,925"
Sierra Streams Institute,68-0429132,501(c)(3),Nevada City,CA,"$1,549,901"
Cache Creek Conservancy,68-0374372,501(c)(3),Woodland,CA,"$893,060"
Friends of the Dunes,68-0373871,501(c)(3),Arcata,CA,"$1,199,180"
Salmon River Restoration Council (SRRC),68-0343595,501(c)(3),Sawyers Bar,CA,"$1,710,059"
Actai Global,45-4866590,501(c)(3),Santa Monica,CA,"$762,974"
Amigos de Bolsa Chica,33-0752003,501(c)(3),Huntington Beach,CA,"$1,480,371"
San Diego Coastkeeper,33-0647946,501(c)(3),San Diego,CA,"$921,217"
Agua Hedionda Lagoon Foundation,33-0411888,501(c)(3),Carlsbad,CA,"$1,454,104"
Restore the Delta,27-4179166,501(c)(3),Stockton,CA,"$1,389,410"
Friends of El Mirage,95-4762400,501(c)(3),California City,CA,"$1,388,288"
Watershed Solutions Network,92-3975275,501(c)(3),Sacramento,CA,"$1,000,103"
Grounded Foundation,88-1852355,501(c)(3),Santa Rosa,CA,"$836,584"
Kings Water Alliance,86-3893903,501(c)(3),Fresno,CA,"$1,455,472"
California River Watch,68-0392889,501(c)(3),Sebastopol,CA,"$1,149,029"
Kaweah Basin Water Quality Association,46-3955049,501(c)(5),Visalia,CA,"$1,359,524"
Butte-Yuba-Sutter Water Quality Coalition,41-2154573,501(c)(3),Yuba City,CA,"$1,039,386"
Regional Water Management Foundation,38-3763365,501(c)(3),Aptos,CA,"$1,338,021"
Colusa Glenn Subwatershed Program,20-5872580,501(c)(6),Willows,CA,"$1,094,190"
Truckee River Public Waters,99-4915824,501(c)(3),Covina,CA,
Costa Recycling,99-3853661,501(c)(3),Rolling Hills Estate,CA,
Hydrofathom Corporation,99-2779286,501(c)(3),San Luis Obispo,CA,
Aquapure Futures,99-1053219,501(c)(3),Bonita,CA,
Pomona Valley Protective Association (PVPA),95-6093496,501(c)(4),Claremont,CA,"$1,772,000"
Harrison Park Mutual Water,95-6092827,501(c)(12),La Mesa,CA,
Little Baldy Water Company,95-6071044,501(c)(12),Llano,CA,"$60,799"
California Coastkeeper Alliance,95-4834043,501(c)(3),Sacramento,CA,"$619,544"
Ballona Wetland Land Trust,95-4542207,501(c)(3),Playa Del Rey,CA,"$65,583"
San Gabriel Valley Water Association,95-4468443,501(c)(4),Azusa,CA,"$244,868"
Silver Lake Reservoirs Conservancy,95-4199639,501(c)(3),Los Angeles,CA,
Batiquitos Lagoon Foundation,95-3852095,501(c)(3),Carlsbad,CA,"$222,498"
Friends of Madrona Marsh,95-2974440,501(c)(3),Torrance,CA,"$77,785"
Central Basin Water Association,95-1643011,501(c)(4),Azusa,CA,"$234,762"
San Gabriel Valley Protective Association,95-1186801,501(c)(4),Azusa,CA,"$138,280"
San Pedro Creek Watershed Coalition,94-3376579,501(c)(3),Pacifica,CA,
Carpe Diem West,94-3373078,501(c)(3),Sausalito,CA,
Center for Ecosystem Management & Restoration,94-3356594,501(c)(3),Oakland,CA,$627
Upper Eel Watershed Forum,94-3327982,501(c)(3),Covelo,CA,
American River Watershed Institute (ARWI),94-3326745,501(c)(3),Auburn,CA,
Coalition for Enhanced Marine Resources,94-3326075,501(c)(4),Sacramento,CA,"$272,500"
Friends of the Petaluma River,94-3275198,501(c)(3),Petaluma,CA,"$345,220"
San Bruno Mountain Watch,94-3235791,501(c)(3),Brisbane,CA,"$217,911"
Friends of the Napa River,94-3207058,501(c)(3),Napa,CA,
Coastside State Parks Association,94-3130418,501(c)(3),Pescadero,CA,"$416,253"
Agua Para La Vida,94-3122845,501(c)(3),Berkeley,CA,"$421,611"
Save the American River Association,94-2987563,501(c)(3),Orangevale,CA,"$235,931"
Sierra Foothills Audubon Society,94-2770544,501(c)(3),Grass Valley,CA,"$93,990"
Save Our Shores,94-2745941,501(c)(3),Santa Cruz,CA,"$552,280"
California County Planning Comm Association,94-2390394,501(c)(3),June Lake,CA,
Tule River Association,94-1550277,501(c)(12),Visalia,CA,"$336,853"
Tell the Dam Truth,93-3856392,501(c)(3),Ventura,CA,"$200,100"
Helderberg Lake Environmental Restoration Corporation,93-3794324,501(c)(3),Palm Springs,CA,
Ekilivrio de Los Angeles,93-1682456,501(c)(3),La Puente,CA,
MARINE PROTECTED AREA COLLABORATIVE NETWORk,93-1681953,501(c)(3),San Juan Capistrano,CA,"$298,904"
Springboard Connectivity,92-3994848,501(c)(3),Ojai,CA,
Nuoc Solutions,92-2802906,501(c)(3),San Mateo,CA,
Oasis Restoration,92-2576544,501(c)(3),San Diego,CA,
Blue Finance,92-1838468,501(c)(3),Sunnyvale,CA,
Save Oceanside Sand,92-1775327,501(c)(3),Oceanside,CA,"$53,909"
Hannig Environmental Research Organization (HERO),92-1108128,501(c)(3),San Carlos,CA,"$200,000"
Lakehead Subdivision Mutual Water,92-0319075,501(c)(4),Lakehead,CA,
Northern Mendocino Ecosystem Recovery Alliance,92-0239350,501(c)(3),Leggett,CA,"$14,611"
The San Joaquin River Resource Management Coaliton,91-2171565,501(c)(3),Los Banos,CA,$158
Friends of Sausal Creek,91-2147216,501(c)(3),Oakland,CA,"$306,596"
Coastal Conservation and Research,91-2081300,501(c)(3),Moss Landing,CA,"$614,476"
Marine and Environmental Education,91-1829208,501(c)(3),La Mesa,CA,
Friends of Orinda Creeks,90-0666255,501(c)(3),Orinda,CA,"$112,792"
Ghost Diving USA,88-4025604,501(c)(3),Pasadena,CA,
Trimtab Sustainable Waters,88-3286729,501(c)(3),Port Hueneme,CA,
Kern Water Collaborative,88-3094747,501(c)(3),Bakersfield,CA,
Eauno Corporation,88-3035955,501(c)(3),Carmel,CA,
Friends of Lake Hodges,88-2862790,501(c)(3),Escondido,CA,
Protecting the Cove,88-2622668,501(c)(3),San Clemente,CA,
Western Water Forever,88-1919732,501(c)(3),Placerville,CA,
Restoring the Stanislaus River,88-1831929,501(c)(3),Sonoma,CA,
Dont Trash Missiion Beach,88-1189925,501(c)(3),San Diego,CA,
Tule Basin Water Foundation,88-1059998,501(c)(3),Visalia,CA,"$472,538"
Urban Rain Gardens,87-2827985,501(c)(3),Merced,CA,
Desalination Now,87-2621490,501(c)(3),Sacramento,CA,
Walnut Creek Watershed Council,87-2243564,501(c)(3),Walnut Creek,CA,
Ocean Warriors,87-2227938,501(c)(3),Seal Beach,CA,
Beyond the Reef International,87-1874077,501(c)(3),Seal Beach,CA,"$297,119"
Sea You Are Free,87-1662779,501(c)(3),West Hills,CA,$0
Save The Ocean,87-0953865,501(c)(3),Marina Del Rey,CA,"$84,000"
La Mision Beach Project,87-0946781,501(c)(3),San Ysidro,CA,
Amargosa Conservancy,87-0748171,501(c)(3),Shoshone,CA,"$230,137"
Ecofrontera Foundation,86-3889318,501(c)(3),San Diego,CA,
Change Thru Change,86-1657769,501(c)(3),Santa Rosa,CA,
Humboldt Waterkeeper,86-1468130,501(c)(3),Arcata,CA,"$113,304"
Trib Research,86-1463575,501(c)(3),Arcata,CA,"$100,299"
Monterey Coastkeeper,86-1423318,501(c)(3),Seaside,CA,"$144,412"
Kids and Creeks,86-1078084,501(c)(3),Chico,CA,
Saline Preservation Association,86-0855439,501(c)(3),Bakersfield,CA,
Salinas Basin Water Alliance,85-4273094,501(c)(5),Salinas,CA,
Tahoe Blue Harvest,85-4187082,501(c)(3),Davis,CA,
H2o 4 Humanity,85-3882863,501(c)(3),Pacific PLSDS,CA,
Sunbow Conservancy,85-3831738,501(c)(3),Pacific PLSDS,CA,
Save Our Coastal and Beach Communities,85-3763873,501(c)(3),Carlsbad,CA,
Kaweah Water Foundation,85-3187592,501(c)(3),Visalia,CA,"$720,034"
Friends of the Amargosa Basin,85-2749230,501(c)(3),Shoshone,CA,"$89,875"
The Coral Ark,85-2147215,501(c)(3),Calabasas,CA,$0
Reef Revive Corporation,85-1660606,501(c)(3),La Mesa,CA,
One People One Reef,85-0658879,501(c)(3),Soquel,CA,"$235,610"
Protect Monterey Bay,84-4509856,501(c)(3),Monterey,CA,$40
Summerland Beautiful,84-3720677,501(c)(3),Summerland,CA,"$30,749"
Water Blueprint for the San Joaquin Valley Education Fund,84-2750953,501(c)(3),Fresno,CA,"$159,146"
Water Blueprint for the San Joaquin Valley Advocacy Fund,84-2750166,501(c)(4),Fresno,CA,"$57,250"
Global Coralition,84-2728444,501(c)(3),Calabasas,CA,"$126,086"
Newport Harbor Foundation,84-2302934,501(c)(3),Newport Beach,CA,"$6,011"
Save Del Dios Corridor,84-2160715,501(c)(3),Rancho Santa Fe,CA,$0
Los Cerritos Wetlands Fund,84-1876735,501(c)(3),Long Beach,CA,"$122,145"
Friends of Gualala River,83-4233346,501(c)(3),Gualala,CA,"$31,774"
Uganda-Saint Bruno Water and Energy Project,83-3747113,501(c)(3),Riverside,CA,"$22,255"
Bear River Watershed,83-3238930,501(c)(3),Ferndale,CA,
Ocean Planet Explorers,83-2512351,501(c)(3),Richmond,CA,
Water Climate Trust,83-2451287,501(c)(3),Redding,CA,"$256,351"
Clean Air Coalition of North Whittier and Avocado Heights,83-1103587,501(c)(3),La Puente,CA,"$51,094"
Alpine Watershed Group,83-0411414,501(c)(3),Markleeville,CA,"$290,697"
River in Action (RIA),82-4383041,501(c)(3),Long Beach,CA,"$122,400"
Valley Foothill Watersheds Collaborative,82-3736517,501(c)(3),Roseville,CA,
Walter Munk Foundation for the Oceans,82-3477332,501(c)(3),La Jolla,CA,"$699,935"
Coast Range Watershed Institute,82-2939829,501(c)(3),Healdsburg,CA,"$219,466"
Suburban Roots,82-2471454,501(c)(3),Danville,CA,
Friends Of@putah Creek,82-2222338,501(c)(3),Davis,CA,
Coastal Rights Coalition,82-1081698,501(c)(4),San Clemente,CA,$0
Southern California Salinity Coalition,82-0576283,501(c)(4),Fountain Valley,CA,"$90,000"
Spiral Pacific,81-5390616,501(c)(3),Hermosa Beach,CA,
Voda Foundation,81-5224093,501(c)(3),Los Angeles,CA,
Inoceans - A Beringia Group,81-4144892,501(c)(3),Cayucos,CA,
Baduwa't Watershed Council,81-3360776,501(c)(3),Blue Lake,CA,"$82,361"
Heirs To Our Ocean,81-2945459,501(c)(3),Redwood City,CA,"$311,257"
Project O,81-2593380,501(c)(3),Laguna Beach,CA,"$216,852"
Petaluma Wetlands Alliance,81-1516247,501(c)(3),Petaluma,CA,
Ocean Research,81-1221171,501(c)(3),Sausalito,CA,
International Water Initiative for Sanitation and Hygiene,81-0960493,501(c)(3),Ontario,CA,"$670,669"
Salton Sea Action Committee,80-0839696,501(c)(6),La Quinta,CA,
Ecomalibu,80-0523165,501(c)(3),Tarzana,CA,
San Juan Capistrano Open Space Foundation,80-0327327,501(c)(3),San Juan Capistrano,CA,
North Fork American River Alliance,77-0642955,501(c)(3),Gold Run,CA,
