Name,EIN,IRS 501(c) type,City,State,Total revenues
Arroyos and Foothills Conservancy (AFC),95-4790045,501(c)(3),Pasadena,CA,"$1,049,296"
Endangered Habitats League,95-4455451,501(c)(3),Los Angeles,CA,"$916,938"
The Land Trust for Santa Barbara County,95-3797404,501(c)(3),Santa Barbara,CA,"$4,852,611"
Sanctuary Forest,94-2676195,501(c)(3),Whitethorn,CA,"$2,547,151"
Art into Acres,83-1293663,501(c)(3),Fairfax,CA,"$1,179,706"
White Buffalo Land Trust,82-4562776,501(c)(3),Santa Barbara,CA,"$2,462,134"
Santa Lucia Preserve,77-0411485,501(c)(3),Carmel,CA,"$4,725,771"
Ojai Valley Land Conservancy (OVLC),77-0169682,501(c)(3),Ojai,CA,"$2,069,101"
Ag Land Trust,77-0077084,501(c)(3),Salinas,CA,"$2,595,398"
Golden State Land Conservancy,68-0444805,501(c)(3),Sebastopol,CA,"$2,249,346"
Bear Yuba Land Trust (BYLT),68-0256981,501(c)(3),Grass Valley,CA,"$2,521,230"
Sacramento Valley Conservancy,68-0256214,501(c)(3),Sacramento,CA,"$3,781,701"
Save the Waves Coalition,36-4515216,501(c)(3),Santa Cruz,CA,"$2,569,172"
Native American Land Conservancy,33-0832220,501(c)(3),Banning,CA,"$3,333,817"
The Escondido Creek Conservancy,33-0497525,501(c)(3),Escondido,CA,"$3,673,956"
Anza-Borrego Foundation,33-0334338,501(c)(3),Borrego Springs,CA,"$3,107,487"
Fallbrook Land Conservancy,33-0301237,501(c)(3),Fallbrook,CA,"$3,661,932"
Rivers & Lands Conservancy,33-0294311,501(c)(3),Riverside,CA,"$4,078,187"
San Dieguito River Valley Land Conservancy (SDRVC),33-0191772,501(c)(3),San Diego,CA,"$3,376,233"
Ventura Land Trust,01-0769456,501(c)(3),Ventura,CA,"$2,582,352"
Tompkins Conservation,94-3363675,501(c)(3),San Francisco,CA,"-$55,603,445"
Tri-Valley Conservancy,94-3216468,501(c)(3),Livermore,CA,"$500,858"
California Farmland Trust,77-0566494,501(c)(3),Elk Grove,CA,"$1,543,910"
Sequoia Riverlands Trust (SRT),77-0347417,501(c)(3),Visalia,CA,"$1,744,861"
Friends of the Desert Mountains,33-0241242,501(c)(3),Palm Desert,CA,"$906,532"
Mendocino Land Trust,94-2362450,501(c)(3),Fort Bragg,CA,"$1,724,722"
George Abrahams Foundation,93-1884850,501(c)(3),Los Angeles,CA,"$1,233,438"
The Silicon Valley Leadership Group Foundation,91-2140464,501(c)(3),San Jose,CA,"$1,149,255"
Save Oswit Canyon,83-2006672,501(c)(3),Palm Springs,CA,"$1,545,514"
Eastern Sierra Land Trust (ESLT),77-0566099,501(c)(3),Bishop,CA,"$1,002,280"
Friends of the Inyo,77-0389436,501(c)(3),Bishop,CA,"$940,557"
San Benito Agricultural Land Trust,77-0338085,501(c)(3),San Juan Bautista,CA,"$2,078,200"
Shasta Land Trust,68-0441184,501(c)(3),Redding,CA,"$1,649,630"
The Siskiyou Land Trust,68-0235003,501(c)(3),Mount Shasta,CA,"$1,188,830"
Sutter Buttes Regional Land Trust,68-0204641,501(c)(3),Yuba City,CA,"$7,688,115"
Yolo Land Trust (YLT),68-0160105,501(c)(3),Woodland,CA,"$772,871"
Martis Fund,20-8187896,501(c)(3),Truckee,CA,"$2,896,277"
Endangered Habitats Conservancy (EHC),20-4349028,501(c)(3),San Diego,CA,"$1,096,689"
Land Empowerment Animals People (LEAP),20-3652744,501(c)(3),Weed,CA,"$811,544"
Kern River Valley Heritage Foundation,77-0548211,501(c)(3),Lake Isabella,CA,"$1,806,930"
Redlands Conservancy,33-0600577,501(c)(3),Redlands,CA,"$1,365,008"
Collaborative for Change,99-3065648,501(c)(3),Berkeley,CA,
Shorecliffs Conservancy,99-2031974,501(c)(3),Pasadena,CA,
Monrovia Parks Wilderness and Recreation Foundation,95-4839197,501(c)(3),Monrovia,CA,
Citizens United for Resources and Environment,95-4830802,501(c)(3),Riverside,CA,"$9,640"
The Claremont Wildlands Conservancy,95-4777423,501(c)(3),Claremont,CA,"$9,731"
Friends of the Bernard Biological Field Station,95-4753441,501(c)(3),Claremont,CA,
RAMIREZ Canyon PRESERVATION Fund,95-4745089,501(c)(4),Malibu,CA,"$346,836"
San Gabriel Mountains Region Conservancy (SGMRC),95-4702549,501(c)(3),Glendora,CA,
Oasis Preserve International,95-4641238,501(c)(3),Los Angeles,CA,$0
Glendora Community Conservancy,95-4393802,501(c)(3),Glendora,CA,"$14,703"
Save Las Pulgas Canyon,95-4168132,501(c)(3),Pacific Palisades,CA,$0
Highland Park Heritage Trust,95-4034485,501(c)(3),Los Angeles,CA,"$14,127"
Earthways Foundation,95-4021351,501(c)(3),Malibu,CA,"$571,799"
Hills for Everyone,95-3786751,501(c)(3),Brea,CA,"$207,456"
Treepeople Land Trust (MRT),95-3677444,501(c)(3),Calabasas,CA,"$709,373"
Torrey Pines Conservancy,95-2541114,501(c)(3),Del Mar,CA,"$163,268"
Peninsula Beach Preservation Group,95-2477177,501(c)(3),Long Beach,CA,"$33,084"
Tuolumne County Land Trust,94-6099191,501(c)(3),Sonora,CA,
High Sierra Hikers Association,94-3361931,501(c)(3),Lafayette,CA,
Restoration Trust,94-3359423,501(c)(3),Oakland,CA,"$67,915"
The Elliott Conservancy,94-3331911,501(c)(3),Folsom,CA,"$18,743"
The Wildwood Conservation Foundation,94-3323073,501(c)(3),Guerneville,CA,"$130,532"
Coastside Land Trust,94-3290067,501(c)(3),Half Moon Bay,CA,"$535,050"
Friends of Edgewood Natural Preserve,94-3188191,501(c)(3),Redwood City,CA,"$212,159"
Bodega Land Trust,94-3175306,501(c)(3),Bodega,CA,"$47,554"
Jacoby Creek Land Trust,94-3159789,501(c)(3),Bayside,CA,"$130,429"
Pacifica Land Trust,94-3156133,501(c)(3),Pacifica,CA,
Anderson Valley Land Trust,94-3142400,501(c)(3),Boonville,CA,"$91,618"
Mother Lode Land Trust,94-3137444,501(c)(3),Jackson,CA,"$141,898"
Trust for Public Land Group Return,94-3107533,501(c)(3),San Francisco,CA,
Friends of Open Space and Vineyards,94-2931912,501(c)(3),Livermore,CA,
World Rainforest Fund,94-2914127,501(c)(3),Walnut Creek,CA,
Walnut Creek Open Space Foundation,94-2607748,501(c)(3),Walnut Creek,CA,"$73,578"
Port Costa Conservation Society,94-2589386,501(c)(3),Port Costa,CA,"$41,588"
Trinidad Coastal Land Trust,94-2552913,501(c)(3),Trinidad,CA,"$170,062"
Homestead Valley Land Trust,94-2375721,501(c)(3),Mill Valley,CA,"$103,195"
Coyote Hills Conservation Fund,93-4623981,501(c)(3),Sacramento,CA,
Regenerative Land Management Corporation,93-3272735,501(c)(3),Los Angeles,CA,
Lake Don Pedro Trailblazers,93-2973280,501(c)(3),La Grange,CA,
Carlisle Canyon Open Space Initiative,93-2104067,501(c)(3),Sacramento,CA,
Great Valley Land Trust,93-1905530,501(c)(3),Visalia,CA,
Friends of Big Morongo Canyon Preserve,93-1168833,501(c)(3),Morongo Valley,CA,"$273,314"
Womens Forest Sanctuary,93-1161224,501(c)(3),Berkeley,CA,"$5,963"
Back Country Land Trust of San Diego County,93-1060214,501(c)(3),Alpine,CA,"$298,617"
Seven Generations,93-1022473,501(c)(3),Berkeley,CA,
Altadenawild Wild,92-3371692,501(c)(3),Altadena,CA,"$52,173"
R-Now,92-2251089,501(c)(3),Riverside,CA,
For Every Star A Tree,92-2164539,501(c)(3),Chatsworth,CA,
Verderia,92-2105401,501(c)(3),Encino,CA,
Biochar Coalition,92-1471459,501(c)(3),Nevada City,CA,
Buy Back USA,92-0915594,501(c)(3),Topanga,CA,
Congo Rainforest Fund,92-0657762,501(c)(3),San Francisco,CA,"$99,344"
Friends of the Fiscalini Ranch Preserve,91-2161009,501(c)(3),Cambria,CA,"$468,747"
Inland Mendocino County Land Trust Incorporated,91-1939339,501(c)(3),Ukiah,CA,
Ocean Riders of Marin,91-1854904,501(c)(3),Mill Valley,CA,"$133,736"
Planet Wildlife,90-0847208,501(c)(3),Needles,CA,
Alianza Ecologista,88-3750795,501(c)(3),Bakersfield,CA,
Awbae,88-0696278,501(c)(3),Los Angeles,CA,
Building Resources of San Francisco,87-4369578,501(c)(3),Oakland,CA,
Northshore Environmental Conservancy,87-4161822,501(c)(5),Laguna Beach,CA,"$584,480"
Foliage Foundation,87-4051116,501(c)(3),San Jose,CA,$0
Living Earth Land Conservation Organization,87-4008816,501(c)(3),Occidental,CA,
Keep Big Sur Wild,87-3666057,501(c)(3),Big Sur,CA,"$26,597"
Keepin It Rural Fund,87-1686126,501(c)(3),San Marcos,CA,"$7,251"
Two Canyons Conservancy,86-3256653,501(c)(3),Sacramento,CA,"$108,950"
Coyotl Macehualli,86-3195962,501(c)(3),Pasadena,CA,"$186,777"
Project Heal the Land,86-2765094,501(c)(3),Lakewood,CA,
Sunshine Hill Residents Association,86-1921526,501(c)(3),Burbank,CA,
Mothers of the Amazon,85-4281528,501(c)(3),Woodland Hills,CA,$0
Keep 70 Safe,85-3902822,501(c)(3),Pasadena,CA,
Koyo Land Conservancy,85-3717219,501(c)(3),Auburn,CA,"$441,898"
Acjachemen Tongva Land Conservancy,85-3024701,501(c)(3),Irvine,CA,"$53,373"
Nevada Resource Conservation Group,85-2851481,501(c)(3),Redlands,CA,
Save Napa Valley Foundation,85-0886616,501(c)(3),Angwin,CA,"$222,974"
Blue Glaciers Rescue Foundation,85-0716089,501(c)(3),Sherman Oaks,CA,$165
Snow Mountain Land Trust,84-5192745,501(c)(3),San Francisco,CA,
Coho Salmon Land Trust,84-4074264,501(c)(3),Forest Knolls,CA,
Yuba Libre,84-2498903,501(c)(3),Nevada City,CA,"$15,286"
The Lagunitas Project,83-3647948,501(c)(3),Lagunitas,CA,$100
California Desert Advisory,83-3222140,501(c)(3),Pioneertown,CA,
Stewards of the Sierra National Forest,83-1571101,501(c)(3),Madera,CA,"$39,100"
Tataviam Land Conservancy,83-1446244,501(c)(3),San Fernando,CA,"$472,131"
Atrium 916,83-1290884,501(c)(3),Sacramento,CA,"$269,421"
The Anza Trail Foundation,83-0462492,501(c)(3),Carpinteria,CA,
Rural Vacaville Preservation Alliance,82-5514584,501(c)(3),Vacaville,CA,
For The Wild Collective,82-5293287,501(c)(3),South El Monte,CA,"$50,000"
Sacred Lands Native Hands Incorporated,82-5047311,501(c)(3),Sacramento,CA,
Sky Land Ocean Institute,82-3981928,501(c)(3),San Francisco,CA,
Er'-Nerr' Land Fund,82-3635536,501(c)(3),Klamath,CA,"$202,000"
The Art Rangers,82-3313931,501(c)(3),San Francisco,CA,
Tiburon-Belvedere Residents United To Support the Trails,82-2943934,501(c)(3),Tiburon,CA,
Kikaceki Land Conservancy,82-2700629,501(c)(3),Redding,CA,
Santa Ynez Valley Coalition Education Fund,82-2491977,501(c)(3),Los Olivos,CA,"$1,923"
Coto Conservancy,82-2129737,501(c)(3),Rcho Sta Marg,CA,
Friends of the Santa Clara Valley Habitat Agency,82-1992215,501(c)(3),Morgan Hill,CA,$0
Frog Creek Adventure School,82-1541613,501(c)(3),Redondo Beach,CA,"$121,884"
Laurel Canyon Land Trust,82-1342893,501(c)(3),Los Angeles,CA,"$11,491"
Beach Conservation Program,81-4976315,501(c)(3),San Clemente,CA,
Craig and Susan Smith Mine Reclamation,81-4616562,501(c)(3),Orcutt,CA,
The River Conservancy at Tesoro Viejo Tesoro Viejo Conservancy,81-3974971,501(c)(3),Fresno,CA,"$104,234"
Morro Bay Open Space Alliance,81-2375834,501(c)(3),Morro Bay,CA,"$10,780"
Canyon Crest Conservancy,81-2360776,501(c)(3),Altadena,CA,
The Friends of the Carrizo Plain,81-0555048,501(c)(3),Santa Margarita,CA,"$7,220"
Bio-R USA,80-0685609,501(c)(3),Sebastopol,CA,"-$185,299"
San Joaquin Valley Conservancy,77-0572903,501(c)(3),Merced,CA,"$196,699"
The California Land Conservancy,77-0556528,501(c)(3),Laguna Beach,CA,"$15,281"
More Mesa Preservation Coalition,77-0549772,501(c)(3),Santa Barbara,CA,
Soar Nonprofit,77-0526601,501(c)(3),Ventura,CA,
Soar,77-0526592,501(c)(4),Ventura,CA,
Cayucos Land Conservancy,77-0506896,501(c)(3),Cayucos,CA,"$226,501"
El Rio De Los Reyes En Reedley Conservation Trust,77-0506139,501(c)(3),Reedley,CA,"$403,764"
Land Trust of Santa Clara Valley,77-0471102,501(c)(3),Morgan Hill,CA,"$697,216"
Gaviota Coast Conservancy,77-0455133,501(c)(3),Goleta,CA,"$398,721"
Conejo Open Space Foundation,77-0403732,501(c)(3),Thousand Oaks,CA,"$61,465"
San Luis Obispo Parks Open Space,77-0318094,501(c)(3),Arroyo Grande,CA,"$82,925"
Atascadero Land Preservation Society,77-0276737,501(c)(3),Atascadero,CA,
Greenspace - The Cambria Land Trust,77-0219622,501(c)(3),Cambria,CA,"$272,478"
Canyon Land Conservation Fund,74-3112974,501(c)(3),Silverado,CA,
Siskiyou Land Conservancy,72-1568115,501(c)(3),Arcata,CA,"$18,472"
Nicasio Land Preserve,71-0919132,501(c)(3),Nicasio,CA,"$32,473"
COASTAL RANCHES CONSERVANCY Attn DOUG CAMPBELL,68-0554135,501(c)(3),Gaviota,CA,"$237,172"
WAN Conservancy,68-0515062,501(c)(3),San Anselmo,CA,"$30,672"
Preservation of Los Olivos,68-0509773,501(c)(4),Los Olivos,CA,"$31,025"
Sierra Watch,68-0483849,501(c)(3),Nevada City,CA,"$512,742"
Mountain Meadows Conservancy,68-0475028,501(c)(3),Westwood,CA,"$102,376"
California Environmental Technology Education Network,68-0458382,501(c)(3),Carmichael,CA,"$9,977"
Northcoast Regional Land Trust,68-0456290,501(c)(3),Bayside,CA,"$527,460"
Watershed Media,68-0450037,501(c)(3),Healdsburg,CA,
Sonoma Mountain Preservation Group,68-0428234,501(c)(3),Glen Ellen,CA,
